Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Phone Appli,https://www.crunchbase.com/organization/phone-appli,101-250,Active,http://phoneappli.net/,info@phoneappli.net,+81 3-5488-7001,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Information Technology, Internet, SNS, Software, Task Management, Telecommunications",,,,,,,,,,"Tokyo, Tokyo, Japan",,2008-01-11,day,"Salesforce, NTT DOCOMO Ventures",
RPA Technologies,https://www.crunchbase.com/organization/rpa-technologies,,Active,http://rpa-technologies.com/?utm_source=google&utm_medium=cpc&utm_campaign=company02&gclid=Cj0KCQjwvLLZBRDrARIsADU6ojAuzT6OlACjoHxa-0FwWWUxOsUiY7ydgzR2CHkHlQKbHLtQgNjtYOMaAtQzEALw_wcB,,,,,,,,,,,"Media and Entertainment, Software","Content, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2013-01-01,day,,https://www.linkedin.com/company/bizrobo/
SE Mobile and Online,https://www.crunchbase.com/organization/se-mobile-and-online,,Active,https://www.semo.co.jp/,,,,,,,,,,,"Sales and Marketing, Software","Marketing, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2006-10-02,day,,
MIRAE CLOUD,https://www.crunchbase.com/organization/mirae-cloud,,Active,http://www.mrcloud.co.kr,mr@mrcloud.co.kr,02-2088-7150,,,,,,,,,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, Affiliate Marketing, Content Creators, SNS, Social Media",,,,,,,,,,"Yeoksamdong, Seoul-t'ukpyolsi, South Korea",,2015-12-02,day,,
Nabejan,https://www.crunchbase.com/organization/nabejan,,Active,https://www.nabejan.com/,,,,,,,,,,,"Advertising, Internet Services, Sales and Marketing, Software","Advertising, Digital Marketing, SEO, SNS, Web Development",,,,,,,,,,,,,,,
CORE TECH Japan,https://www.crunchbase.com/organization/core-tech-japan,51-100,Active,https://core-tech.jp/,,,,,,,,,,,"Data and Analytics, Software","SNS, Software, Text Analytics",,,,,,,,,,"Tokyo, Tokyo, Japan",,2009-02-01,month,,
FRONTIER Japan,https://www.crunchbase.com/organization/frontier-japan,101-250,Active,http://frontier-gr.jp,,,1,1,,,,,,,"Sales and Marketing, Software","Sales, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2009-11-11,day,,https://www.linkedin.com/company/readycrew
Engly,https://www.crunchbase.com/organization/engly,,Active,https://engly.com/,,,,,,,,,,,"Community and Lifestyle, Internet Services, Software","Online Forums, SNS, Social Network",,,,,,,,,,"Tokyo, Tokyo, Japan",,2018-11-01,month,,
DHebiz,https://www.crunchbase.com/organization/dhebiz,,Active,http://dh-company.co.kr,cs@dh-company.co.kr,1-600-1405,,,,,,,,,"Advertising, Sales and Marketing, Software","Advertising, Digital Marketing, Marketing, Mobile Advertising, SNS",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,2008-04-30,day,,
MatchingAgent,https://www.crunchbase.com/organization/matchingagent,,Active,https://www.matchingagent.co.jp/,,,,,,,,,,,"Apps, Media and Entertainment, Software","Apps, Content, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2013-12-02,day,,
Chiikimori,https://www.crunchbase.com/organization/chiikimori,,Active,https://chiikimori.jp/,,,,,,,,,,,"Administrative Services, Commerce and Shopping, Professional Services, Software","Consulting, Delivery, Local Shopping, SNS",,,,,,,,,,"Osaka, Osaka, Japan",,2016-08-31,day,,
Our Pick,https://www.crunchbase.com/organization/our-pick,,Active,http://www.ourpick.co.kr,ourpick@ourpick.co.kr,+82 032 463 1025,,,,,,,,,"Data and Analytics, Sales and Marketing, Software","Big Data, Marketing, SNS",,,,,,,,,,"Incheon, Inch'on-jikhalsi, South Korea",,,,,
Pia Digital Communications,https://www.crunchbase.com/organization/pia-digital-communications,,Active,http://www.pia-dc.jp,,,,,,,,,,,"Advertising, Food and Beverage, Media and Entertainment, Sales and Marketing, Software","Advertising, Content, Food and Beverage, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,1999-04-02,day,,
unique vision,https://www.crunchbase.com/organization/unique-vision,,Active,http://www.uniquevision.co.jp,,,,,,,,,,,Software,SNS,,,,,,,,,,"Tokyo, Tokyo, Japan",,2008-01-15,day,,https://www.linkedin.com/company/unique-vision-company
Abentry,https://www.crunchbase.com/organization/abentry,,Active,https://abentry.co.jp/,contact@abentry.co.jp,03-1234-5678,,,,,,,,,"Advertising, Media and Entertainment, Sales and Marketing, Software","Advertising, Content, Media and Entertainment, SNS",,,,,,,,,,"Machida, Tokyo, Japan",,2020-06-16,day,"KSK Angel Fund, Green Innovations, Toru Shimada, Daisuke Takanashi, Ino Tomoki",
Arise Japan,https://www.crunchbase.com/organization/arise-japan,,Active,https://arise.co.jp/,,,,,,,,,,,"Consumer Goods, Software","Beauty, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2003-07-01,day,,
Media Palette,https://www.crunchbase.com/organization/media-palette,1-10,Active,http://media-palette.co.kr,mediapalette@media-palette.co.kr,010-3321-7520,,,,,,,,,"Advertising, Media and Entertainment, Sales and Marketing, Software","Advertising, Content Creators, SNS",,,,,,,,,,"Seocho, Seoul-t'ukpyolsi, South Korea",,,,,
"inmD Co.,Ltd",https://www.crunchbase.com/organization/inmd-co-ltd,11-50,Active,http://inmd.co.kr,contact@inmd.co.kr,+82 2-554-5624,,,,,,,,,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, SNS, Social Media",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,2007-03-09,day,,https://www.linkedin.com/company/inmd
WCS,https://www.crunchbase.com/organization/wcs,,Active,http://wcs.co.jp/,,,,,,,,,,,"Clothing and Apparel, Design, Media and Entertainment, Software","Content, Fashion, SNS",0,2,,Education; entertainment,,,,,,"Nagoya, Aichi, Japan",,2006-06-06,day,,
hashout,https://www.crunchbase.com/organization/hashout,,Active,https://hashout.co.jp/,,,,,,,,,,,"Internet Services, Media and Entertainment, Software","SNS, Social Media, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
Ketel,https://www.crunchbase.com/organization/ketel,,Active,https://ketel.tokyo/,,,,,,,,,,,"Advertising, Media and Entertainment, Professional Services, Sales and Marketing, Software","Advertising, Content, Management Consulting, SNS",,,,,,,,,,"Shibuya, Kanagawa, Japan",,2018-01-01,year,,
Ninareru,https://www.crunchbase.com/organization/ninareru,,Active,https://ninareru.com/,,+81 080-6127-7189,,,,,,,,,"Advertising, Media and Entertainment, Sales and Marketing, Software","Advertising, Marketing, Media and Entertainment, SNS",,,,,,,,,,"Osaka-shi, Osaka, Japan",,2018-10-01,month,,
Transpond,https://www.crunchbase.com/organization/iwidgets,1-10,Closed,http://www.transpond.com,info@transpond.com,,,,,,,,,,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, Developer Tools, SNS, Social Media",,,,,,,,,,"San Francisco, California, United States",,2007-01-01,year,"University Growth Fund, Opus Capital",https://www.linkedin.com/company/transpond
Maverick Japan,https://www.crunchbase.com/organization/maverick-japan,,Active,https://www.mvrck.co.jp/,,,,,,,,,,,"Sales and Marketing, Software","Marketing, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2013-10-01,day,,https://www.linkedin.com/company/maverick-incs
Adcate,https://www.crunchbase.com/organization/adcate,,Active,https://adcate.co.jp/,,+81 06-6484-7810,,,,,,,,,"Advertising, Data and Analytics, Design, Sales and Marketing, Software","Advertising, Digital Marketing, Market Research, SNS",,,,,,,,,,"Osaka-shi, Osaka, Japan",,2016-04-01,month,,
AilaB,https://www.crunchbase.com/organization/ailab,,Active,https://ailab-corp.com/,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Information Technology, Recruiting, SNS, Software",,,,,,,,,,"Tokyo, Tokyo, Japan",,2020-01-01,month,,
Lokosol,https://www.crunchbase.com/organization/lokosol,,Active,https://www.lokosol.co.jp/,info@lokosol.co.jp,+81 829 87 0149,,,,,,,,,"Administrative Services, Apps, Software","Apps, Human Resources, SNS, Software",,,,,,,,,,"Hatsukaichi, Hiroshima, Japan",,,,,
Expathos,https://www.crunchbase.com/organization/expathos,1-10,Active,http://www.expathos.com,info@expathos.com,31 50 526 8004,,,,,,,,,"Hardware, Information Technology, Internet Services, Media and Entertainment, Professional Services, Software","Consulting, Internet, Open Source, SNS, Social Media, Virtualization",,,,,512188,USD,512188,,,"Groningen, Groningen, The Netherlands",,2005-01-01,year,,https://www.linkedin.com/company/expathos
DayRoom,https://www.crunchbase.com/organization/dayroom,,Active,https://com.dayroom.info,,,,,,,,,,,"Apps, Hardware, Software","Apps, SNS, Telecommunications",,,,,,,,,,"Kanagawa, Fukushima, Japan",,2020-03-01,month,,
CSI Japan,https://www.crunchbase.com/organization/csi-japan,,Active,https://www.csiinc.co.jp,,,,,,,,,,,"Health Care, Software","Nursing and Residential Care, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2013-04-01,day,,
Sharefam.com,https://www.crunchbase.com/organization/sharefam-com,1-10,Closed,http://www.sharefam.com,bizdev@sharefam.com,,,,,,,,,,"Community and Lifestyle, Content and Publishing, Media and Entertainment, Software","Blogging Platforms, Content, Parenting, Photography, SNS",,,,,,,,,,"Atlanta, Georgia, United States",,2007-12-01,day,,
Blocksky,https://www.crunchbase.com/organization/blocksky,,Active,https://blocksky.xyz/,,,,,,,,,,,"Blockchain and Cryptocurrency, Information Technology, Other, Sales and Marketing, Software","Blockchain, Information Technology, Marketing, SNS",,,,,385658,USD,385658,,,,,2023-09-01,month,,
With You,https://www.crunchbase.com/organization/with-you,,Active,https://www.play-sports.jp/Top.php,,,,,,,,,,,"Software, Sports","Fitness, SNS, Sports",,,,,,,,,,"Tokyo, Tokyo, Japan",,2015-08-01,day,,
Euno,https://www.crunchbase.com/organization/euno,,Active,http://www.euno.jp/,,,,,,,,,,,"Media and Entertainment, Software, Travel and Tourism","Content, Museums and Historical Sites, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
Metalopolis,https://www.crunchbase.com/organization/metalopolis,,Active,https://mp-inc.net/,info@mp-inc.net,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Hardware, Internet Services, Sales and Marketing, Science and Engineering, Software","3D Technology, Advertising, Artificial Intelligence (AI), SNS, Web3",,,,,,,,,,"Naha, Okinawa, Japan",,,,,
MC Data Plus,https://www.crunchbase.com/organization/mc-data-plus,,Active,http://www.mcdata.co.jp/,,,,,,,,,,,Software,"SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2015-04-21,day,,https://www.linkedin.com/company/mc-data-plus-inc.
Marsquai,https://www.crunchbase.com/organization/marsquai,,Active,https://marsquai.jp ,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Computer, Hardware, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2023-05-08,day,,
Media Aid,https://www.crunchbase.com/organization/mediaaid-9eb6,,Active,https://mediaaid.co.jp/,,,,,,,,,,,"Advertising, Professional Services, Sales and Marketing, Software","Advertising, Marketing, Recruiting, SNS",,,,,,,,,,"Shibuya, Kanagawa, Japan",,2020-01-01,year,,
jig.jp,https://www.crunchbase.com/organization/jig-jp,11-50,Active,https://www.jig.jp,sp@jig.jp,81-3-5367-3932,,,,,,,,,"Education, Hardware, Media and Entertainment, Mobile, Software, Video","Browser Extensions, Communications Infrastructure, Education, Mobile, SNS, Software, Video",0,1,,Scientific and electric apparatus and instruments,,,,,,"Sabae, Fukui, Japan",,2003-05-28,day,TBS Innovation Partners,https://www.linkedin.com/company/jig.jp-co.-ltd
Sairin System,https://www.crunchbase.com/organization/sairin-system,,Active,http://www.sairin-system.co.jp/,,,,,,,,,,,Software,"SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
Photonic Science Technology,https://www.crunchbase.com/organization/photonic-science-technology,,Active,http://www.psti7.com,,,,,,,,,,,Software,"SNS, Task Management",,,,,,,,,,"Chitose, Hokkaido, Japan",,2010-01-11,day,,
AI3.0,https://www.crunchbase.com/organization/ai3-0,,Active,https://ai3zero.com/,ai3.0auto@gmail.com,+81 90 7695 8304,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), SNS, Web Development",,,,,,,,,,"Imabari-shi, Ehime, Japan",,2023-07-18,day,,
AIWOOD,https://www.crunchbase.com/organization/aiwood,,Active,http://machilog.jp/,,,,,,,,,,,"Apps, Software","Apps, SNS",,,,,,,,,,"Japan, Jawa Tengah, Indonesia",,,,,
Trave,https://www.crunchbase.com/organization/trave,,Active,https://trave-inc.com/,,,,,,,,,,,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, Content Creators, Digital Marketing, SNS, Social Media Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2022-02-01,month,,
MeDiee,https://www.crunchbase.com/organization/mediee,1-10,Active,https://mediee.jp,info@mediee.jp,+81-479-82-6665,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Q&A, SNS",,,,,,,,,,"Sosa, Chiba, Japan",,2021-06-17,day,,https://www.linkedin.com/company/mediee
FORSTY,https://www.crunchbase.com/organization/forsty,,Active,https://forsty-japan.co.jp/,y-shimizu@forsty-japan.co.jp,,,,,,,,,,"Information Technology, Internet Services, Media and Entertainment, Other, Software","B2B, Information Technology, SNS, Social Media, Web Development",,,,,,,,,,"Tokyo, Tokyo, Japan",,2021-10-28,day,,
FunTre,https://www.crunchbase.com/organization/funtre,,Active,https://funtre.co.jp/,,+81 36-383-3885,,,,,,,,,"Education, Professional Services, Sales and Marketing, Software","Consulting, Digital Marketing, SNS, Vocational Education, Web Development",,,,,233113,USD,233113,,,,,,,,
Cubbying,https://www.crunchbase.com/organization/cubbying,1-10,Active,http://www.cubbying.com,cubbying@nalebe.com,,,,,,,,,,"Commerce and Shopping, Data and Analytics, Hardware, Internet Services, Media and Entertainment, Privacy and Security, Software","Big Data, Hardware, Personalization, Privacy, SNS, Social Media",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,2012-02-27,day,"Genic, POSCO Venture Partners",
PHOTRON LIMITED,https://www.crunchbase.com/organization/photron-limited,,Active,http://www.photron.co.jp/,,,,,,,,,,,Software,"SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,1968-07-10,day,,
BiiMii Media Partner,https://www.crunchbase.com/organization/biimii-media-partner,,Active,https://biimii.co.jp,,+81 3-5249-6226,,,,,,,,,"Advertising, Sales and Marketing, Software","Marketing, Public Relations, SNS, Video Advertising",,,,,,,,,,"Tokyo, Tokyo, Japan",,2022-06-01,month,,
GLAPentertainment Co.,https://www.crunchbase.com/organization/glapentertainment-co,1-10,Active,https://glap-e.com/,info@glap-e.com,+81-3-6452-5222,,,,,,,,,"Advertising, Data and Analytics, Design, Media and Entertainment, Professional Services, Sales and Marketing, Software","Advertising, Business Development, Content, Market Research, Media and Entertainment, SNS",,,,,,,,,,"Shibuya, Kanagawa, Japan",,2019-04-01,month,,
Reliefsign,https://www.crunchbase.com/organization/reliefsign,,Active,https://www.reliefsign.co.jp/,,,,,,,,,,,"Internet Services, Software","Internet, Productivity Tools, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2018-12-01,day,,
Remember Japan,https://www.crunchbase.com/organization/remember-japan,,Closed,https://corp.remember.tokyo/,,,,,,,,,,,"Clothing and Apparel, Design, Sales and Marketing, Software","Fashion, Marketing, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2017-02-20,day,"BitStar, i-mobile, SKIYAKI",
FreeStyle Japan,https://www.crunchbase.com/organization/freestyle-japan,,Active,http://freestyles.jp/,,,,,,,,,,,Software,"SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2006-09-15,day,,
eHelp,https://www.crunchbase.com/organization/ehelp,1-10,Active,http://www.ehelp.com,,(858)459-6365,,,,,,,,,Software,"SNS, Software",,,,,,,,,,"San Diego, California, United States",,1990-01-01,year,,
insect micro agency,https://www.crunchbase.com/organization/insect-micro-agency,,Active,http://insect01.com/,,,,,,,,,,,"Media and Entertainment, Software","Content, SNS, Task Management",,,,,,,,,,"Fujisawa, Kanagawa, Japan",,2010-07-07,day,,
Hikiyose,https://www.crunchbase.com/organization/hikiyose,1-10,Active,https://hikiyose.tech/,info@hikiyose.tech,+81 03-4231-2581,,,,,,,,,"Advertising, Media and Entertainment, Sales and Marketing, Software","Advertising, Metaverse, SNS, Social Media Marketing",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
Sealtale,https://www.crunchbase.com/organization/sealtale,1-10,Closed,http://www.sealtale.com,dlqor23@sealtale.com,,,,,,,,,,"Advertising, Community and Lifestyle, Content and Publishing, Information Technology, Media and Entertainment, Music and Audio, Privacy and Security, Sales and Marketing, Software","Advertising, Blogging Platforms, Communities, Developer Tools, Identity Management, Music, SNS",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,2008-09-10,day,,
Holiday Arch,https://www.crunchbase.com/organization/holiday-arch,,Active,http://meow-vr.com,info@meow-vr.com,,,,,,,,,,"Advertising, Sales and Marketing, Software","Advertising, Digital Marketing, SNS",,,,,,,,,,"Imizu, Toyama, Japan",,,,,
I From Japan,https://www.crunchbase.com/organization/i-from-japan,,Active,https://www.i-fromjapan.com/,contact@i-fromjapan.com,,,,,,,,,,"Gaming, Media and Entertainment, Software","Content, Gaming, SNS",1,2,Sports; Games; Amusements,Scientific and electric apparatus and instruments,,,,,,"Osaka, Osaka, Japan",,2016-09-01,day,,
Musikle,https://www.crunchbase.com/organization/musikle,,Active,https://musikle.co.jp/,,,,,,,,,,,"Events, Media and Entertainment, Sales and Marketing, Software","Concerts, Digital Marketing, SNS, Web Development",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
iDEAKITT,https://www.crunchbase.com/organization/ideakitt,,Active,http://www.ideakitt.com/,,,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Software","Information Technology, Messaging, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2013-01-01,year,,https://in.linkedin.com/company/ideakitt-inc
​New Columbus Co.,https://www.crunchbase.com/organization/new-columbus-co,1-10,Active,https://www.newcolumbus.co.jp/,,,,,,,,,,,"Events, Information Technology, Media and Entertainment, Other, Professional Services, Sales and Marketing, Software","Consulting, Events, Marketing, SNS, Technical Support",,,,,,,,,,"Kanagawa, Fukushima, Japan",,,,,
t-com office,https://www.crunchbase.com/organization/t-com-office,,Active,https://t-comoffice.com/,info@t-comoffice.com,+81-03-6823-3158,,,,,,,,,"Data and Analytics, Professional Services, Software","Analytics, Consulting, SNS, Web Development",,,,,,,,,,"Tokyo, Tokyo, Japan",,2021-10-01,month,,
Kirarabo,https://www.crunchbase.com/organization/kirarabo,1-10,Active,https://kiralabo.jp,,,,,,,,,,,"Advertising, Sales and Marketing, Software","Advertising, Marketing, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2019-05-01,month,,
Grani,https://www.crunchbase.com/organization/grani,,Active,http://grani.jp/,,,,,,,,,,,"Gaming, Software","Console Games, Gaming, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2012-09-19,day,,
Lisfee,https://www.crunchbase.com/organization/lisfee,,Active,http://www.lisfee.com/,,,,,,,,,,,"Gaming, Software","Gaming, SNS",,,,,,,,,,"Chiba, Chiba, Japan",,2016-11-01,day,,
Oz Marketing,https://www.crunchbase.com/organization/oz-marketing,,Active,https://ozmkt.com,oz@ozmkt.com,02-2088-5406,,,,,,,,,"Advertising, Sales and Marketing, Software","Advertising, Brand Marketing, Digital Marketing, SNS",,,,,,,,,,"Yeoksamdong, Seoul-t'ukpyolsi, South Korea",,2019-06-20,day,,
SK planet Japan,https://www.crunchbase.com/organization/sk-planet-japan,,Active,https://skplanetjapan.jp/,,,,,,,,,,,"Commerce and Shopping, Sales and Marketing, Software","E-Commerce, Marketing, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2012-03-14,day,,
Become Media Inc.,https://www.crunchbase.com/organization/become-media-inc,11-50,Closed,http://www.becomedia.cn/en,waylandzhang@gmail.com,,,,,,,,,,"Internet Services, Media and Entertainment, Software","SNS, Social Media",,,,,,,,,,"Shanghai, Shanghai, China",,2008-08-30,day,Wayland Zhang,
OpenGroove,https://www.crunchbase.com/organization/opengroove,,Active,https://www.opengroove.com/,,,,,,,,,,,"Hardware, Software","SNS, Software, Task Management, Telecommunications",,,,,,,,,,"Tokyo, Tokyo, Japan",,2014-01-01,day,,
maxfield,https://www.crunchbase.com/organization/maxfield,,Active,http://maxfield.co.jp,,,,,,,,,,,Software,"SNS, Web Development",,,,,,,,,,"Tokyo, Tokyo, Japan",,2013-05-01,day,,
ARTISTFAMILY,https://www.crunchbase.com/organization/artistfamily,,Active,http://artistfamily.org/,artistfamilyorg@gmail.com,,,,,,,,,,"Advertising, Media and Entertainment, Music and Audio, Sales and Marketing, Software","Advertising, Audio Recording and Production, Music, SNS, Video Advertising",,,,,,,,,,"Yeoksamdong, Seoul-t'ukpyolsi, South Korea",,,,,
Inoh,https://www.crunchbase.com/organization/inoh,,Active,https://i-noh.com/,z.kimura@i-noh.com,+81 80-5409-5466,,,,,,,,,"Advertising, Design, Sales and Marketing, Software","Advertising, Developer APIs, SNS, UX Design",,,,,,,,,,"Tokyo, Tokyo, Japan",,2020-04-08,day,,
Media Breast,https://www.crunchbase.com/organization/mediabrst,1-10,Active,https://mediabrst.co.jp/,,1-035-358-6270,,,,,,,,,"Content and Publishing, Media and Entertainment, Software, Video","Media and Entertainment, SNS, Video, Video Editing",,,,,,,,,,"Tokyo, Tokyo, Japan",,2003-12-01,month,"VOYAGE VENTURES, Adways",
51Intern,https://www.crunchbase.com/organization/51intern-com-2,1-10,Closed,http://www.51intern.com,warren.ching@51intern.com,86 21 6227 5655,,,,,,,,,"Administrative Services, Internet Services, Media and Entertainment, Other, Professional Services, Software","Career Planning, Human Resources, Search Engine, SNS, Social Media, Universities",,,,,,,,,,"Shanghai, Shanghai, China",,2010-05-18,day,DaD Asia,
Alfree,https://www.crunchbase.com/organization/alfree,,Active,https://alfree.net,info@alfree.net,03-6455-1090,,,,,,,,,"Apps, Internet Services, Media and Entertainment, Sales and Marketing, Software","Apps, SNS, Social Media, Social Media Marketing, Software, Web Development",,,,,,,,,,"Tokyo, Tokyo, Japan",,2013-02-01,day,,
Sosal,https://www.crunchbase.com/organization/sosal,,Active,https://sosal.me/,,,,,,,,,,,"Media and Entertainment, Software","Content, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2015-02-01,day,,
Marta,https://www.crunchbase.com/organization/marta-f78b,51-100,Active,https://www.marta.monster/,,,,,,,,,,,"Internet Services, Media and Entertainment, Sales and Marketing, Software","Sales, SNS, Social Media",,,,,,,,,,"Osaka, Osaka, Japan",,,,,
PERIX,https://www.crunchbase.com/organization/perix,51-100,Active,http://www.forecs.net/,,,,,,,,,,,"Government and Military, Other, Software","Enterprise, SNS, Social Assistance",,,,,105064,USD,105064,,,,,2014-10-01,day,TIPS Program,
Dr.Fellow,https://www.crunchbase.com/organization/dr-fellow,1-10,Active,https://www.doctor-fellow.com/,info@fellow-doctor.com,,,,,,,,,,"Apps, Health Care, Mobile, Software","Health Care, Mobile Apps, Nursing and Residential Care, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2018-06-01,day,Open Network Lab,
TeeShot,https://www.crunchbase.com/organization/teeshot,,Active,http://teeshot.co.kr,help@teeshot.co.kr,02-2277-3489,,,,,,,,,"Apps, Software, Sports","Apps, Golf, SNS",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,2014-09-23,day,,
ROUGH AND READY,https://www.crunchbase.com/organization/rough-and-ready,,Active,http://www.rough-and-ready.co.jp/,,,,,,,,,,,Software,"SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
Creative Party,https://www.crunchbase.com/organization/creative-party,,Active,https://creativeparty.co.jp/,info@creativeparty.com,03-6206-8205,,,,,,,,,"Sales and Marketing, Software","Marketing, SNS",,,,,,,,,,"Minato, Chiba, Japan",,2017-05-01,day,,
meet in,https://www.crunchbase.com/organization/meet-in,,Active,https://meet-in.jp/,,,,,,,,,,,Software,"SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2017-01-27,day,,
Happy Digital,https://www.crunchbase.com/organization/happy-digital-54b0,,Active,https://www.happylaugh.jp/,,,,,,,,,,,"Advertising, Professional Services, Sales and Marketing, Software","Advertising, Brand Marketing, Consulting, SNS, Social Media Marketing",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
dianboom,https://www.crunchbase.com/organization/dianboom,1-10,Closed,http://www.dianboom.com,info@dianboom.com,,,,,,,,,,"Commerce and Shopping, Hardware, Software","3D Technology, E-Commerce, SNS",,,,,,,,,,"Shenzhen, Guangdong, China",,2010-03-01,day,PPZ Assets Holding Corp.,
Nippon Telenet,https://www.crunchbase.com/organization/nippon-telenet,,Active,https://www.nippon-tele.net/,,,,,,,,,,,"Hardware, Internet Services, Software","Internet, SNS, Telecommunications",,,,,,,,,,"Kyoto, Kyoto, Japan",,1985-11-19,day,,
RUNEXYCORP,https://www.crunchbase.com/organization/runexycorp,,Active,https://www.runexy.co.jp/,,,,,,,,,,,"Education, Software","Education, SNS, Software, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,1995-11-01,day,,https://www.linkedin.com/company/runexy-corporation
C'INK,https://www.crunchbase.com/organization/c-ink,,Active,http://c-ink.jp/company/,,+81 075-754-0682,,,,,,,,,"Food and Beverage, Software","Food and Beverage, SNS",,,,,,,,,,"Kyoto, Kyoto, Japan",,,,,
PROJECT NIPPON,https://www.crunchbase.com/organization/project-nippon,,Active,http://www.project-nippon.jp/,,,,,,,,,,,Software,"SNS, Task Management",0,2,,Advertising; business,,,,,,"Tokyo, Tokyo, Japan",,2004-03-01,day,,
Suijee,https://www.crunchbase.com/organization/suijee-co,1-10,Active,https://suijee.co.jp/,info@@suijee.co.jp,,,,,,,,,,"Advertising, Apps, Sales and Marketing, Software","Advertising, Apps, Marketing, SNS, Web Development",,,,,,,,,,"Fujisawa, Kanagawa, Japan",,2021-04-06,day,,
Review Japan,https://www.crunchbase.com/organization/review-japan,1-10,Active,https://macci.biz/,,,,,,,,,,,"Media and Entertainment, Software","Content, SNS, Task Management",,,,,,,,,,"Osaka, Osaka, Japan",,2016-03-01,month,"Future Venture Capital, D.A.Consortium, Open House Group, Career index, Precious Time",
Lbose,https://www.crunchbase.com/organization/lbose,1-10,Active,https://www.lbose.co.jp/,,,,,,,,,,,"Other, Professional Services, Software","Freelance, Professional Services, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2017-10-05,day,"ANRI, Future Venture Capital, Will Group",
